ID,Nombre,Texto,Velocidad
doctor_1,,,
2_centerText,,Han sido ya cuatro meses desde mi ataque al corazón.,0.05
3_bbOut,,,
4_bbsIn,,,
5,bbs1-line1_79-line2_63,"En todo ese tiempo, es probable que pueda contar con una mano las
veces que he salido de este cuarto de hospital sin supervisión.",0.015
6,bbs1-line3_31-line4_15-line5_-1,"Cuatro meses es un tiempo bastante largo cuando te dejan solo con
tus pensamientos. Así que he tenido mucho tiempo para aceptar mi
situación.",0.015
7,bbs1-line6_-33,Arritmia.,0.015
8,bbs1-line7_-65-line8_-81,"Una palabra inusual. Una extranjera y alienígena. Una con la que no
quieres estar en la misma habitación.",0.015
9,bbs2-line1_79-line2_63,"Una condición rara. Provoca que el corazón actúe de forma errática
y ocasionalmente lata demasiado rápido. Puede ser fatal.",0.015
10,bbs2-line3_31-line4_15-line5_-1,"Aparentemente, la he tenido por un largo tiempo. Dijeron que fue un
milagro que haya podido continuar por tanto tiempo sin que
sucediera nada.",0.015
11,bbs2-line6_-33-line7_-49,"¿Es eso realmente un milagro? Creo que se suponía que me haría
sentir mejor, con más apreciación por mi vida.",0.015
12,bbs2-line8_-81,En realidad no hizo nada para levantarme el ánimo.,0.015
13,bbs3-line1_55-line2_39,"A mis padres, creo, les afectaron más las noticias que a mí. Ellos
prácticamente tuvieron dos hemorragias, cada uno.",0.015
14,bbs3-line3_7-line4_-9-line5_-25,"Yo ya había tenido un día entero para digerirlo todo. Para ellos
todo fue nuevo. Estaban incluso preparados para vender la casa
para poder pagar por una cura.",0.015
15,bbs3-line6_-57,"Por supuesto, no hay una cura.",0.015
16,bbs4-line1_79-line2_63,"Por el tardío descubrimiento de esta… condición, he tenido que
quedarme en el hospital para recuperarme de los tratamientos.",0.015
17,bbs4-line3_31,"Cuando recién fui admitido, se sentía como si fuese extrañado…",0.015
18,bbs4-line4_-1-line5_-17,"Por alrededor de una semana, mi habitación en la sala del hospital
se encontraba llena de flores, globos y cartas.",0.015
19,bbs4-line6_-49-line7_-65-line8_-81,"Pero las visitas pronto se redujeron, y todos los regalos de
“recupérate pronto” comenzaron a disminuir hasta no quedar nada,
poco después.",0.015
20,bbs5-line1_47-line2_31-line3_15,"Me di cuenta de que la única razón por la que recibí tantas cartas y
flores, fue porque enviarme su simpatía se había convertido en un
proyecto de clase.",0.015
21,bbs5-line4_-17-line5_-33-line6_-49,"Quizás a algunos les preocupaba genuinamente, pero lo dudo.
Incluso al principio apenas tenía visitas. Para el final del primer mes,
solo mis padres venían a verme de forma regular.",0.015
22,bbs6-line1_47,Iwanako fue la última en dejar de venir.,0.015
23,bbs6-line2_15-line3_-1,"Después de seis semanas, nunca volví a verla. Nunca tuvimos
mucho de qué hablar cuando me visitaba, de cualquier manera.",0.015
24,bbs6-line4_-33-line5_-49,"Nunca más volvimos a tocar el tema que había entre nosotros aquel
nevado día de invierno.",0.015
25,bbs7-line1_63,¿El hospital?,0.015
26,bbs7-line2_31,No es realmente un lugar donde me gustaría vivir.,0.015
27,bbs7-line3_-1-line4_-17,"Los doctores y enfermeras se sienten tan impersonales y faltos de
rostro.",0.015
28,bbs7-line5_-49-line6_-65,"Creo se debe a que se encuentran apresurados y tienen otro millón
de pacientes esperándolos, pero me hace sentir incómodo.",0.015
29,bbs8-line1_39-line2_23-line3_7,"Durante el primer mes, más o menos, le preguntaba al jefe de
cardiología cada vez que lo veía por una estimación “grosso modo""
de cuándo podría dejar este lugar.",0.015
30,bbs8-line4_-25-line5_-41,"Él nunca respondía algo de manera directa, en cambio me decía que
esperara y viera si el tratamiento y cirugías habían funcionado.",0.015
