ID,Nombre,Texto,Velocidad
doctor_1,,,
2_centerText,,It's been four months since my heart attack.,0.05
3_bbOut,,,
4_bbsIn,,,
5,bbs1-line1_79-line2_63,"In that whole time, I can probably count the times I've left this
hospital room unsupervised on one hand.",0.015
6,bbs1-line3_31-line4_15-line5_-1,"Four months is a pretty long time when you're left alone with your
thoughts. So, I've had plenty of time to come to terms with my
situation.",0.015
7,bbs1-line6_-33,Arrhythmia.,0.015
8,bbs1-line7_-65-line8_-81,"A strange word. A foreign, alien one. One that you don't want to be
in the same room with.",0.015
9,bbs2-line1_71-line2_55,"A rare condition. It causes the heart to act erratically and
occasionally beat way too fast. It can be fatal.",0.015
10,bbs2-line3_23-line4_7,"Apparently, I've had it for a long time. They said it was a miracle that
I was able to go on so long without anything happening.",0.015
11,bbs2-line5_-25-line6_-41,"Is that really a miracle? I guess it was supposed to make me feel
better, more appreciative of my life.",0.015
12,bbs2-line7_-73,It really didn't do anything to cheer me up.,0.015
13,bbs3-line1_55-line2_39,"My parents, I think, were hit harder by the news than I was. They
practically had two hemorrhages apiece.",0.015
14,bbs3-line3_7-line4_-9-line5_-25,"I had already had a full day by then to digest everything. To them, it
was all fresh. They were even willing to sell our house in order to
pay for a cure.",0.015
15,bbs3-line6_-57,Of course there isn't a cure.,0.015
16,bbs4-line1_71-line2_55,"Because of the late discovery of this… condition, I've had to stay at
the hospital, to recuperate from the treatments.",0.015
17,bbs4-line3_23,"When I was first admitted, it felt as if I was missed…",0.015
18,bbs4-line4_-9-line5_-25,"For about a week, my room in the ward was full of flowers, balloons
and cards.",0.015
19,bbs4-line6_-57-line7_-73,"But, the visitors soon dwindled and all the get-well gifts began
trickling down to nothing shortly after.",0.015
20,bbs5-line1_47-line2_31-line3_15,"I realized that the only reason I had gotten so many cards and
flowers was because sending me their sympathy had been turned
into a class project.",0.015
21,bbs5-line4_-17-line5_-33-line6_-49,"Maybe some people were genuinely concerned, but I doubt it. Even
in the beginning, I barely had visitors. By the end of the first month,
only my parents came by on a regular basis.",0.015
22,bbs6-line1_47,Iwanako was the last to stop visiting.,0.015
23,bbs6-line2_15-line3_-1,"After six weeks, I never saw her again. We never had that much to
talk about when she visited, anyway.",0.015
24,bbs6-line4_-33-line5_-49,"We didn't touch the subject that was between us on that snowy day
ever again.",0.015
25,bbs7-line1_55,The hospital?,0.015
26,bbs7-line2_23,It's not really a place I'd like to live in.,0.015
27,bbs7-line3_-9,The doctors and nurses feel so impersonal and faceless.,0.015
28,bbs7-line4_-41-line5_-57,"I guess it's because they are in a hurry and they have a million other
patients waiting for them, but it makes me feel uncomfortable.",0.015
29,bbs8-line1_31-line2_15,"For the first month or so, I asked the head cardiologist every time I
saw him for a rough estimate of when I'd be able to leave.",0.015
30,bbs8-line3_-17-line4_-33,"He never answered anything in a straightforward way, but told me
to wait and see if the treatment and surgeries worked.",0.015
31,bbs9-line1_55-line2_39-line3_23,"So, I idly observed the scar that those surgeries had left on my
chest slowly change its appearance over time, thinking of it as some
kind of an omen.",0.015
32,bbs9-line4_-9-line5_-25-line6_-41-line7_-57,"I still ask the head cardiologist about leaving, but my expectations
are low enough now that I'm not disappointed any more when I don't
get a reply. The way he shuffles around the answer shows that there
is at least some hope.",0.015
33,bbs10-line1_95,"At some point I stopped watching TV. I don't know why, I just did.",0.015
34,bbs10-line2_63,Maybe it was the wrong kind of escapism for my situation.,0.015
35,bbs10-line3_31-line4_15-line5_-1-line6_-17,"I started reading instead. There was a small 'library' at the hospital,
although it was more like a storeroom for books. I began working my
way through it, one small stack at a time. After consuming them, I
would go back for more.",0.015
36,bbs10-line7_-49-line8_-65,"I found that I liked reading and I think I even became a bit addicted. I
started feeling naked without a book in my hands.",0.015
37,bbs10-line9_-97,But I loved the stories.,0.015
38,bbs11-line1_79,That was what my life was like.,0.015
39,bbs11-line2_47-line3_31-line4_15-line5_-1,"The days became increasingly harder to distinguish from each other,
differing only by the book I was reading and the weather outside. It
felt like time blurred into some kind of gooey mass I was trapped
inside, instead of moving within.",0.015
40,bbs11-line6_-33,A week could go by without me really noticing it.,0.015
41,bbs11-line7_-65-line8_-81,"Sometimes, I'd pause in realization that I didn't know what day of the
week it was.",0.015
42,bbs12-line1_87-line2_71-line3_55,"But other times, all the things that surrounded me would painfully
crash into my consciousness, through the barrier of nonchalance I
had set up for myself.",0.015
43,bbs12-line4_23-line5_7-line6_-9-line7_-25,"The pages of my book would start to feel sharp and burning hot and
the heaviness in my chest would become so hard to bear that I had
to put the book aside and just lay down for a while, looking at the
ceiling as if I was going to cry.",0.015
44,bbs12-line8_-57,But that happened only rarely.,0.015
45,bbs12-line9_-89,And I couldn't even cry.,0.015
46_bbsOut,,,
47,,"Today, the doctor comes in and gives me a smile. He seems excited, but not very. It's like he is trying to make an effort to be happy on my behalf.",0.015
48,,My parents are here. It's been a few days since I've last seen them. Both of them are even sort of dressed up. Is this supposed to be some kind of special occasion? It's not a party.,0.015
49,,"There is this ritual the head cardiologist has. He takes his time, sorting his papers, then setting them aside as if to make a point of the pointlessness of what he just did.",0.015
50,,Then he casually sits down on the edge of the bed next to mine. He looks me in the eyes for a moment.,0.015
51,Doctor,"""Hello, Hisao. How are you today?""",0.015
52,,"I don't answer him but I smile a little, back at him.",0.015
53,Doctor,"""I believe that you can go home; your heart is stronger now, and with some precautions, you should be fine.""",0.015
54,Doctor,"""We have all your medication sorted out. I'll give your father the prescription.""",0.015
55,,"The doctor hands a sheet of paper to my dad, whose expression turns wooden as he reads it quickly.",0.015
56,Papá,"""So many…""",0.015
57,,"I take it from his hand and take a look myself, feeling numb. How am I supposed to react to this?",0.015
58_lWbIn,,,
59_medicalText,,,
60,,The absurdly long list of medications staring back at me from the paper seems insurmountable. They all blend together in a sea of letters.,0.015
61,,This is insane.,0.015
62,,"Side effects, adverse effects, contraindications and dosages are listed line after line with cold precision.",0.015
63,,"I try to read them, but it's so futile.",0.015
64,,I can't understand any of it. Attempting to only makes me feel sicker.,0.015
65,,"All this… for the rest of my life, every day?",0.015
66_bbIn,,,
67_bWbOut,,,
68_medicalTextOut,,,
69_bbOut,,,
70,Doctor,"""I'm afraid that is the best we can do at this point.""",0.015
71,Doctor,"""However, new medications are always being developed, so I wouldn't be surprised to see that list fade over the years.""",0.015
72,,Years… What kind of confidence booster is that? I'd have felt better if he hadn't said anything at all…,0.015
73,Doctor,"""Also, I've spoken with your parents and we believe that it would be best if you don't return to your old school.""",0.015
74,,What!?,0.015
75,Papá,"""Please, calm down, Hisao. Listen to what the doctor has to say…""",0.015
