ID,Nombre,Texto,Velocidad
intro_01,,,
02_centralText,,Han sido ya cuatro meses desde mi ataque al corazón.,1
03_blOut,,,
04_bigboxsay,,,
5,bbs1_es-line1-line2,"En todo ese tiempo, es probable que pueda contar con una mano las veces que he salido de este cuarto de hospital sin supervisión.",1
6,bbs1_es-line3-line4-line5,Cuatro meses es un tiempo bastante largo cuando te dejan solo con tus pensamientos. Así que he tenido mucho tiempo para aceptar mi situación.,1
7,bbs1_es-line6,Arritmia.,1
8,bbs1_es-line7-line8,Una palabra inusual. Una extranjera y alienígena. Una con la que no quieres estar en la misma habitación.,1
9,bbs1_1_es-line1-line2,Una condición rara. Provoca que el corazón actúe de forma errática y ocasionalmente lata demasiado rápido. Puede ser fatal.,1
10,bbs1_1_es-line3-line4-line5,"Aparentemente, la he tenido por un largo tiempo. Dijeron que fue un milagro que haya podido continuar por tanto tiempo sin que sucediera nada.",1
11,bbs1_1_es-line6-line7,"¿Es eso realmente un milagro? Creo que se suponía que me haría sentir mejor, con más apreciación por mi vida.",1
12,bbs1_1_es-line8,En realidad no hizo nada para levantarme el ánimo.,1
13,bbs2_es-line1-line2,"A mis padres, creo, les afectaron más las noticias que a mí. Ellos prácticamente tuvieron dos hemorragias, cada uno.",1
14,bbs2_es-line3-line4-line5,"Yo ya había tenido un día entero para digerirlo todo. Para ellos, todo fue nuevo. Estaban incluso preparados para vender la casa para poder pagar por una cura.",1
15,bbs2_es-line6,"Por supuesto, no hay una cura.",1
16,bbs3_es-line1-line2,"Por el tardío descubrimiento de esta… condición, he tenido que quedarme en el hospital para recuperarme de los tratamientos.",1
17,bbs3_es-line3,"Cuando recién fui admitido, se sentía como si fuese extrañado…",1
18,bbs3_es-line4-line5,"Por alrededor de una semana, mi habitación en la sala del hospital se encontraba llena de flores, globos y cartas.",1
19,bbs3_es-line6-line7-line8,"Pero las visitas pronto se redujeron, y todos los regalos de “recupérate pronto” comenzaron a disminuir hasta no quedar nada, poco después.",1
20,bbs3_1_es-line1-line2-line3,"Me di cuenta de que la única razón por la que recibí tantas cartas y flores, fue porque enviarme su simpatía se había convertido en un proyecto de clase.",1
21,bbs3_1_es-line4-line5-line6,"Quizás a algunos les preocupaba genuinamente, pero lo dudo. Incluso al principio apenas tenía visitas. Para el final del primer mes, solo mis padres venían a verme de forma regular.",1
22,bbs3_2_es-line1,Iwanako fue la última en dejar de venir.,1
23,bbs3_2_es-line2-line3,"Después de seis semanas, nunca volví a verla. Nunca tuvimos mucho de qué hablar cuando me visitaba, de cualquier manera.",1
24,bbs3_2_es-line4-line5, Nunca más volvimos a tocar el tema que había entre nosotros aquel nevado día de invierno.,1
25,bbs4_es-line1,¿El hospital?,1
26,bbs4_es-line2,No es realmente un lugar donde me gustaría vivir.,1
27,bbs4_es-line3-line4,Los doctores y enfermeras se sienten tan impersonales y faltos de rostro.,1
28,bbs4_es-line5-line6,"Creo se debe a que se encuentran apresurados y tienen otro millón de pacientes esperándolos, pero me hace sentir incómodo.",1
29,bbs4_es-line7-line8-line9,"Durante el primer mes, más o menos, le preguntaba al jefe de cardiología cada vez que lo veía por una estimación “grosso modo” de cuándo podría dejar este lugar.",1
30,bbs4_es-line10-line11,"Él nunca respondía algo de manera directa, en cambio me decía que esperara y viera si el tratamiento y cirugías habían funcionado.",1
31,bbs4_1_es-line1-line2-line3-line4,"Así que, sin tener nada que hacer, observaba la cicatriz que aquellas cirugías habían dejado en mi pecho cambiar lentamente su apariencia a través del tiempo, pensando en ello como una especie de presagio.",1
32,bbs4_1_es-line5-line6-line7-line8-line9,Aún le pregunto al jefe de cardiología sobre cuándo podré irme pero mis expectativas son ahora tan bajas que ya no me decepciono cuando él no contesta. El modo en que evade la respuesta muestra que hay por lo menos un poco de esperanza.,1
33,bbs5_es-line1-line2,"En algún momento dejé de ver televisión. No sé por qué, solo lo hice.",1
34,bbs5_es-line3,Tal vez era el tipo equivocado de escapismo para mi situación.,1
35,bbs5_es-line4-line5-line6-line7,"En lugar de eso, empecé a leer. Había una pequeña “biblioteca” en el hospital, aunque era más como un almacén para libros. Comencé a leer todo lo que había ahí, una pila pequeña a la vez. Después de consumirla, regresaba por más.",1
